CAT,Day_of_month,Month_of_year,Day_Segment,Longitude,Latitude,Year,Count
IMPAIRED,4,10,2,-122.418,37.785,2,2
IMPAIRED,4,11,0,-122.415,37.779,3,3
IMPAIRED,4,11,0,-122.414,37.78,2,2
IMPAIRED,4,11,1,-122.506,37.78,1,1
IMPAIRED,4,11,1,-122.414,37.782,2,2
IMPAIRED,4,11,2,-122.423,37.743,1,1
IMPAIRED,4,12,0,-122.416,37.783,2,2
IMPAIRED,4,12,0,-122.413,37.776,2,2
IMPAIRED,4,12,0,-122.412,37.785,2,2
IMPAIRED,4,12,0,-122.411,37.783,1,1
IMPAIRED,4,12,0,-122.407,37.756,1,1
IMPAIRED,4,12,1,-122.411,37.782,1,1
IMPAIRED,4,12,2,-122.478,37.727,1,1
IMPAIRED,4,12,2,-122.422,37.798,2,2
IMPAIRED,4,12,2,-122.42,37.788,2,2
IMPAIRED,4,12,2,-122.412,37.776,1,1
IMPAIRED,4,12,2,-122.407,37.756,1,1
IMPAIRED,4,12,2,-122.405,37.786,1,1
IMPAIRED,5,1,0,-122.432,37.768,1,1
